t, value
17.02, 1.00002
17.03, 1.00002
17.04, 1.00002
17.05, 1.00002
17.06, 1.00003
17.07, 1.00003
17.08, 1.00003
17.09, 1.00003
17.1, 1.00003
17.11, 1.00003
17.12, 1.00004
17.13, 1.00004
17.14, 1.00004
17.15, 1.00004
17.16, 1.00004
17.17, 1.00004
17.18, 1.00005
17.19, 1.00005
17.2, 1.00005
17.21, 1.00005
17.22, 1.00005
17.23, 1.00005
17.24, 1.00006
17.25, 1.00006
17.26, 1.00006
17.27, 1.00006
17.28, 1.00006
17.29, 1.00006
17.3, 1.00006
17.31, 1.00007
17.32, 1.00007
17.33, 1.00007
17.34, 1.00007
17.35, 1.00007
17.36, 1.00007
17.37, 1.00007
17.38, 1.00007
17.39, 1.00008
17.4, 1.00008
17.41, 1.00008
17.42, 1.00008
17.43, 1.00008
17.44, 1.00008
17.45, 1.00008
17.46, 1.00008
17.47, 1.00008
17.48, 1.00008
17.49, 1.00009
17.5, 1.00009
17.51, 1.00009
17.52, 1.00009
17.53, 1.00009
17.54, 1.00009
17.55, 1.00009
17.56, 1.00009
17.57, 1.00009
17.58, 1.00009
17.59, 1.00009
17.6, 1.0001
17.61, 1.0001
17.62, 1.0001
17.63, 1.0001
17.64, 1.0001
17.65, 1.0001
17.66, 1.0001
17.67, 1.0001
17.68, 1.0001
17.69, 1.0001
17.7, 1.0001
17.71, 1.0001
17.72, 1.0001
17.73, 1.0001
17.74, 1.0001
17.75, 1.00011
17.76, 1.00011
17.77, 1.00011
17.78, 1.00011
17.79, 1.00011
17.8, 1.00011
17.81, 1.00011
17.82, 1.00011
17.83, 1.00011
17.84, 1.00011
17.85, 1.00011
17.86, 1.00011
17.87, 1.00011
17.88, 1.00011
17.89, 1.00011
17.9, 1.00011
17.91, 1.00011
17.92, 1.00011
17.93, 1.00011
17.94, 1.00011
17.95, 1.00011
17.96, 1.00011
17.97, 1.00011
17.98, 1.00011
17.99, 1.00011
18, 1.00011
18.01, 1.00011
18.02, 1.00011
18.03, 1.00011
18.04, 1.00011
18.05, 1.00011
18.06, 1.00011
18.07, 1.00011
18.08, 1.00011
18.09, 1.00012
18.1, 1.00012
18.11, 1.00012
18.12, 1.00012
18.13, 1.00012
18.14, 1.00012
18.15, 1.00012
18.16, 1.00012
18.17, 1.00012
18.18, 1.00012
18.19, 1.00012
18.2, 1.00011
18.21, 1.00011
18.22, 1.00011
18.23, 1.00011
18.24, 1.00011
18.25, 1.00011
18.26, 1.00011
18.27, 1.00011
18.28, 1.00011
18.29, 1.00011
18.3, 1.00011
18.31, 1.00011
18.32, 1.00011
18.33, 1.00011
18.34, 1.00011
18.35, 1.00011
18.36, 1.00011
18.37, 1.00011
18.38, 1.00011
18.39, 1.00011
18.4, 1.00011
18.41, 1.00011
18.42, 1.00011
18.43, 1.00011
18.44, 1.00011
18.45, 1.00011
18.46, 1.00011
18.47, 1.00011
18.48, 1.00011
18.49, 1.00011
18.5, 1.00011
18.51, 1.00011
18.52, 1.00011
18.53, 1.00011
18.54, 1.00011
18.55, 1.00011
18.56, 1.00011
18.57, 1.00011
18.58, 1.00011
18.59, 1.00011
18.6, 1.0001
18.61, 1.0001
18.62, 1.0001
18.63, 1.0001
18.64, 1.0001
18.65, 1.0001
18.66, 1.0001
18.67, 1.0001
18.68, 1.0001
18.69, 1.0001
18.7, 1.0001
18.71, 1.0001
18.72, 1.0001
18.73, 1.0001
18.74, 1.0001
18.75, 1.0001
18.76, 1.0001
18.77, 1.0001
18.78, 1.0001
18.79, 1.0001
18.8, 1.0001
18.81, 1.00009
18.82, 1.00009
18.83, 1.00009
18.84, 1.00009
18.85, 1.00009
18.86, 1.00009
18.87, 1.00009
18.88, 1.00009
18.89, 1.00009
18.9, 1.00009
18.91, 1.00009
18.92, 1.00009
18.93, 1.00009
18.94, 1.00009
18.95, 1.00009
18.96, 1.00009
18.97, 1.00009
18.98, 1.00009
18.99, 1.00008
19, 1.00008
19.01, 1.00008
19.02, 1.00008
19.03, 1.00008
19.04, 1.00008
19.05, 1.00008
19.06, 1.00008
19.07, 1.00008
19.08, 1.00008
19.09, 1.00008
19.1, 1.00008
19.11, 1.00008
19.12, 1.00008
19.13, 1.00008
19.14, 1.00008
19.15, 1.00008
19.16, 1.00007
19.17, 1.00007
19.18, 1.00007
19.19, 1.00007
19.2, 1.00007
19.21, 1.00007
19.22, 1.00007
19.23, 1.00007
19.24, 1.00007
19.25, 1.00007
19.26, 1.00007
19.27, 1.00007
19.28, 1.00007
19.29, 1.00007
19.3, 1.00007
19.31, 1.00007
19.32, 1.00006
19.33, 1.00006
19.34, 1.00006
19.35, 1.00006
19.36, 1.00006
19.37, 1.00006
19.38, 1.00006
19.39, 1.00006
19.4, 1.00006
19.41, 1.00006
19.42, 1.00006
19.43, 1.00006
19.44, 1.00006
19.45, 1.00006
19.46, 1.00006
19.47, 1.00006
19.48, 1.00005
19.49, 1.00005
19.5, 1.00005
19.51, 1.00005
19.52, 1.00005
19.53, 1.00005
19.54, 1.00005
19.55, 1.00005
19.56, 1.00005
19.57, 1.00005
19.58, 1.00005
19.59, 1.00005
19.6, 1.00005
19.61, 1.00005
19.62, 1.00005
19.63, 1.00005
19.64, 1.00004
19.65, 1.00004
19.66, 1.00004
19.67, 1.00004
19.68, 1.00004
19.69, 1.00004
19.7, 1.00004
19.71, 1.00004
19.72, 1.00004
19.73, 1.00004
19.74, 1.00004
19.75, 1.00004
19.76, 1.00004
19.77, 1.00004
19.78, 1.00004
19.79, 1.00004
19.8, 1.00004
19.81, 1.00003
19.82, 1.00003
19.83, 1.00003
19.84, 1.00003
19.85, 1.00003
19.86, 1.00003
19.87, 1.00003
19.88, 1.00003
19.89, 1.00003
19.9, 1.00003
19.91, 1.00003
19.92, 1.00003
19.93, 1.00003
19.94, 1.00003
19.95, 1.00003
19.96, 1.00003
19.97, 1.00003
19.98, 1.00003
19.99, 1.00002

